damage_level,quantity_level,chance_level,damage,quantity,chance,total_cost,product,pareto_frontier
1,1,1,2.0,1.0,5.0,0.0,0.1,True
2,1,1,3.0,1.0,5.0,5.0,0.15000000000000002,True
1,1,2,2.0,1.0,6.5,8.0,0.13,False
2,1,2,3.0,1.0,6.5,13.0,0.195,True
3,1,1,5.0,1.0,5.0,16.0,0.25,True
3,1,2,5.0,1.0,6.5,24.0,0.325,True
1,2,1,2.0,2.0,5.0,30.0,0.2,False
4,1,1,9.0,1.0,5.0,33.0,0.45,True
1,1,3,2.0,1.0,8.0,34.0,0.16,False
2,2,1,3.0,2.0,5.0,35.0,0.30000000000000004,False
1,2,2,2.0,2.0,6.5,38.0,0.26,False
2,1,3,3.0,1.0,8.0,39.0,0.24,False
4,1,2,9.0,1.0,6.5,41.0,0.585,True
2,2,2,3.0,2.0,6.5,43.0,0.39,False
3,2,1,5.0,2.0,5.0,46.0,0.5,False
3,1,3,5.0,1.0,8.0,50.0,0.4,False
3,2,2,5.0,2.0,6.5,54.0,0.65,True
5,1,1,14.0,1.0,5.0,56.0,0.7000000000000001,True
4,2,1,9.0,2.0,5.0,63.0,0.9,True
5,1,2,14.0,1.0,6.5,64.0,0.91,True
1,2,3,2.0,2.0,8.0,64.0,0.32,False
4,1,3,9.0,1.0,8.0,67.0,0.72,False
2,2,3,3.0,2.0,8.0,69.0,0.48,False
4,2,2,9.0,2.0,6.5,71.0,1.17,True
1,1,4,2.0,1.0,9.5,78.0,0.19,False
3,2,3,5.0,2.0,8.0,80.0,0.8,False
2,1,4,3.0,1.0,9.5,83.0,0.28500000000000003,False
6,1,1,22.0,1.0,5.0,85.0,1.1,False
5,2,1,14.0,2.0,5.0,86.0,1.4000000000000001,True
5,1,3,14.0,1.0,8.0,90.0,1.12,False
6,1,2,22.0,1.0,6.5,93.0,1.4300000000000002,True
5,2,2,14.0,2.0,6.5,94.0,1.82,True
3,1,4,5.0,1.0,9.5,94.0,0.475,False
4,2,3,9.0,2.0,8.0,97.0,1.44,False
1,3,1,2.0,3.0,5.0,105.0,0.30000000000000004,False
1,2,4,2.0,2.0,9.5,108.0,0.38,False
2,3,1,3.0,3.0,5.0,110.0,0.45,False
4,1,4,9.0,1.0,9.5,111.0,0.855,False
2,2,4,3.0,2.0,9.5,113.0,0.5700000000000001,False
1,3,2,2.0,3.0,6.5,113.0,0.39,False
6,2,1,22.0,2.0,5.0,115.0,2.2,True
2,3,2,3.0,3.0,6.5,118.0,0.585,False
6,1,3,22.0,1.0,8.0,119.0,1.76,False
5,2,3,14.0,2.0,8.0,120.0,2.24,True
7,1,1,32.0,1.0,5.0,120.0,1.6,False
3,3,1,5.0,3.0,5.0,121.0,0.75,False
6,2,2,22.0,2.0,6.5,123.0,2.8600000000000003,True
3,2,4,5.0,2.0,9.5,124.0,0.95,False
7,1,2,32.0,1.0,6.5,128.0,2.08,False
3,3,2,5.0,3.0,6.5,129.0,0.9750000000000001,False
5,1,4,14.0,1.0,9.5,134.0,1.33,False
4,3,1,9.0,3.0,5.0,138.0,1.35,False
1,3,3,2.0,3.0,8.0,139.0,0.48,False
1,1,5,2.0,1.0,11.0,140.0,0.22,False
4,2,4,9.0,2.0,9.5,141.0,1.71,False
2,3,3,3.0,3.0,8.0,144.0,0.72,False
2,1,5,3.0,1.0,11.0,145.0,0.33,False
4,3,2,9.0,3.0,6.5,146.0,1.7550000000000001,False
6,2,3,22.0,2.0,8.0,149.0,3.52,True
7,2,1,32.0,2.0,5.0,150.0,3.2,False
7,1,3,32.0,1.0,8.0,154.0,2.56,False
3,3,3,5.0,3.0,8.0,155.0,1.2,False
3,1,5,5.0,1.0,11.0,156.0,0.55,False
7,2,2,32.0,2.0,6.5,158.0,4.16,True
8,1,1,46.0,1.0,5.0,161.0,2.3000000000000003,False
5,3,1,14.0,3.0,5.0,161.0,2.1,False
6,1,4,22.0,1.0,9.5,163.0,2.09,False
5,2,4,14.0,2.0,9.5,164.0,2.66,False
8,1,2,46.0,1.0,6.5,169.0,2.99,False
5,3,2,14.0,3.0,6.5,169.0,2.73,False
1,2,5,2.0,2.0,11.0,170.0,0.44,False
4,3,3,9.0,3.0,8.0,172.0,2.16,False
4,1,5,9.0,1.0,11.0,173.0,0.99,False
2,2,5,3.0,2.0,11.0,175.0,0.66,False
1,3,4,2.0,3.0,9.5,183.0,0.5700000000000001,False
7,2,3,32.0,2.0,8.0,184.0,5.12,True
3,2,5,5.0,2.0,11.0,186.0,1.1,False
2,3,4,3.0,3.0,9.5,188.0,0.855,False
6,3,1,22.0,3.0,5.0,190.0,3.3000000000000003,False
8,2,1,46.0,2.0,5.0,191.0,4.6000000000000005,False
6,2,4,22.0,2.0,9.5,193.0,4.18,False
8,1,3,46.0,1.0,8.0,195.0,3.68,False
5,3,3,14.0,3.0,8.0,195.0,3.36,False
5,1,5,14.0,1.0,11.0,196.0,1.54,False
6,3,2,22.0,3.0,6.5,198.0,4.29,False
7,1,4,32.0,1.0,9.5,198.0,3.04,False
8,2,2,46.0,2.0,6.5,199.0,5.98,True
3,3,4,5.0,3.0,9.5,199.0,1.425,False
4,2,5,9.0,2.0,11.0,203.0,1.98,False
9,1,1,63.0,1.0,5.0,208.0,3.1500000000000004,False
9,1,2,63.0,1.0,6.5,216.0,4.095,False
4,3,4,9.0,3.0,9.5,216.0,2.565,False
1,1,6,2.0,1.0,12.5,220.0,0.25,False
6,3,3,22.0,3.0,8.0,224.0,5.28,False
8,2,3,46.0,2.0,8.0,225.0,7.36,True
7,3,1,32.0,3.0,5.0,225.0,4.800000000000001,False
6,1,5,22.0,1.0,11.0,225.0,2.42,False
2,1,6,3.0,1.0,12.5,225.0,0.375,False
5,2,5,14.0,2.0,11.0,226.0,3.08,False
7,2,4,32.0,2.0,9.5,228.0,6.08,False
7,3,2,32.0,3.0,6.5,233.0,6.24,False
3,1,6,5.0,1.0,12.5,236.0,0.625,False
9,2,1,63.0,2.0,5.0,238.0,6.300000000000001,False
8,1,4,46.0,1.0,9.5,239.0,4.37,False
5,3,4,14.0,3.0,9.5,239.0,3.99,False
9,1,3,63.0,1.0,8.0,242.0,5.04,False
1,3,5,2.0,3.0,11.0,245.0,0.66,False
9,2,2,63.0,2.0,6.5,246.0,8.19,True
2,3,5,3.0,3.0,11.0,250.0,0.99,False
1,2,6,2.0,2.0,12.5,250.0,0.5,False
4,1,6,9.0,1.0,12.5,253.0,1.125,False
6,2,5,22.0,2.0,11.0,255.0,4.84,False
2,2,6,3.0,2.0,12.5,255.0,0.75,False
1,4,1,2.0,4.0,5.0,255.0,0.4,False
7,3,3,32.0,3.0,8.0,259.0,7.68,False
7,1,5,32.0,1.0,11.0,260.0,3.52,False
2,4,1,3.0,4.0,5.0,260.0,0.6000000000000001,False
10,1,1,85.0,1.0,5.0,261.0,4.25,False
3,3,5,5.0,3.0,11.0,261.0,1.65,False
1,4,2,2.0,4.0,6.5,263.0,0.52,False
8,3,1,46.0,3.0,5.0,266.0,6.9,False
3,2,6,5.0,2.0,12.5,266.0,1.25,False
6,3,4,22.0,3.0,9.5,268.0,6.2700000000000005,False
2,4,2,3.0,4.0,6.5,268.0,0.78,False
8,2,4,46.0,2.0,9.5,269.0,8.74,True
10,1,2,85.0,1.0,6.5,269.0,5.525,False
3,4,1,5.0,4.0,5.0,271.0,1.0,False
9,2,3,63.0,2.0,8.0,272.0,10.08,True
8,3,2,46.0,3.0,6.5,274.0,8.97,False
5,1,6,14.0,1.0,12.5,276.0,1.75,False
4,3,5,9.0,3.0,11.0,278.0,2.97,False
3,4,2,5.0,4.0,6.5,279.0,1.3,False
4,2,6,9.0,2.0,12.5,283.0,2.25,False
9,1,4,63.0,1.0,9.5,286.0,5.985,False
4,4,1,9.0,4.0,5.0,288.0,1.8,False
1,4,3,2.0,4.0,8.0,289.0,0.64,False
7,2,5,32.0,2.0,11.0,290.0,7.04,False
10,2,1,85.0,2.0,5.0,291.0,8.5,False
